CountyCode,CountyName,DistrictCode,DistrictName,PercentDaysPresent,Year
25,MONMOUTH,2120,HENRY HUDSON REGIONAL,97.0,2017-18
25,MONMOUTH,2160,HIGHLANDS BORO,95.9,2017-18
25,MONMOUTH,2230,HOLMDEL TWP,97.3,2017-18
25,MONMOUTH,2290,HOWELL TWP,96.1,2017-18
25,MONMOUTH,2400,KEANSBURG BORO,91.9,2017-18
25,MONMOUTH,2430,KEYPORT BORO,93.0,2017-18
25,MONMOUTH,2720,LITTLE SILVER BORO,96.7,2017-18
25,MONMOUTH,2770,LONG BRANCH CITY,95.9,2017-18
25,MONMOUTH,2920,MANALAPAN-ENGLISHTOWN REG,97.2,2017-18
25,MONMOUTH,2930,MANASQUAN BORO,97.7,2017-18
25,MONMOUTH,3030,MARLBORO TWP,97.5,2017-18
25,MONMOUTH,3040,MATAWAN-ABERDEEN REGIONAL,97.5,2017-18
25,MONMOUTH,3160,MIDDLETOWN TWP,97.3,2017-18
25,MONMOUTH,3200,MILLSTONE TWP,96.2,2017-18
25,MONMOUTH,3250,MONMOUTH BEACH BORO,95.2,2017-18
25,MONMOUTH,3255,MONMOUTH-OCEAN ED SER COM,100.0,2017-18
25,MONMOUTH,3260,MONMOUTH CO VOCATIONAL,96.7,2017-18
25,MONMOUTH,3270,MONMOUTH REGIONAL,94.8,2017-18
25,MONMOUTH,3500,NEPTUNE CITY,94.5,2017-18
25,MONMOUTH,3510,NEPTUNE TWP,95.2,2017-18
25,MONMOUTH,3810,OCEAN TWP,96.7,2017-18
25,MONMOUTH,3830,OCEANPORT BORO,100.0,2017-18
25,MONMOUTH,4360,RED BANK BORO,98.1,2017-18
25,MONMOUTH,4365,RED BANK REGIONAL,100.0,2017-18
25,MONMOUTH,4520,ROOSEVELT BORO,94.7,2017-18
25,MONMOUTH,4570,RUMSON BORO,90.3,2017-18
25,MONMOUTH,4580,RUMSON-FAIR HAVEN REG,97.7,2017-18
25,MONMOUTH,4690,SEA GIRT BORO,93.1,2017-18
25,MONMOUTH,4760,SHORE REGIONAL,96.2,2017-18
25,MONMOUTH,4770,SHREWSBURY BORO,93.1,2017-18
25,MONMOUTH,4980,SPRING LAKE BORO,95.0,2017-18
25,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,97.0,2017-18
25,MONMOUTH,5185,TINTON FALLS,96.4,2017-18
25,MONMOUTH,5230,UNION BEACH,100.0,2017-18
25,MONMOUTH,5310,UPPER FREEHOLD REGIONAL,93.3,2017-18
25,MONMOUTH,5420,WALL TWP,94.9,2017-18
25,MONMOUTH,5640,WEST LONG BRANCH BORO,93.1,2017-18
27,MORRIS,0450,BOONTON TOWN,9999999.0,2017-18
27,MORRIS,0460,BOONTON TWP,97.5,2017-18
27,MORRIS,0630,BUTLER BORO,97.5,2017-18
27,MORRIS,0785,SCH DIST OF THE CHATHAMS,97.4,2017-18
27,MORRIS,0820,CHESTER TWP,99.0,2017-18
27,MORRIS,1090,DENVILLE TWP,97.4,2017-18
27,MORRIS,1110,DOVER TOWN,97.4,2017-18
27,MORRIS,1190,EAST HANOVER TWP,97.8,2017-18
27,MORRIS,1530,FLORHAM PARK BORO,90.9,2017-18
27,MORRIS,1990,HANOVER PARK REGIONAL,96.0,2017-18
27,MORRIS,2000,HANOVER TWP,97.8,2017-18
27,MORRIS,2010,HARDING TOWNSHIP,98.3,2017-18
27,MORRIS,2380,JEFFERSON TWP,96.6,2017-18
27,MORRIS,2460,KINNELON BORO,97.1,2017-18
27,MORRIS,2650,LINCOLN PARK BORO,96.5,2017-18
27,MORRIS,2870,MADISON BORO,93.8,2017-18
27,MORRIS,3090,MENDHAM BORO,98.6,2017-18
27,MORRIS,3100,MENDHAM TWP,97.3,2017-18
