CountyCode,CountyName,DistrictCode,DistrictName,Teachers/Admins,Female,Male,White,Hispanic,Black or African American,Asian,American Indian or Alaska Native,Native Hawaiian or Pacific Islander,Two or More Races,Year
03,BERGEN,1470,FAIRVIEW BORO,Admins,77.8,22.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,1470,FAIRVIEW BORO,Teachers,88.8,11.2,83.1,15.7,0.0,0.0,0.0,0.0,1.1,2017-18
03,BERGEN,1550,FORT LEE BORO,Admins,57.1,42.9,71.4,19.0,9.5,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,1550,FORT LEE BORO,Teachers,79.9,20.1,80.2,8.7,0.0,11.1,0.0,0.0,0.0,2017-18
03,BERGEN,1580,FRANKLIN LAKES BORO,Admins,77.8,22.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,1580,FRANKLIN LAKES BORO,Teachers,91.7,8.3,98.6,1.4,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,1700,GARFIELD CITY,Admins,71.1,28.9,94.7,2.6,2.6,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,1700,GARFIELD CITY,Teachers,78.1,21.9,92.6,5.2,0.7,1.6,0.0,0.0,0.0,2017-18
03,BERGEN,1760,GLEN ROCK BORO,Admins,53.3,46.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,1760,GLEN ROCK BORO,Teachers,77.8,22.2,96.8,0.5,0.0,2.8,0.0,0.0,0.0,2017-18
03,BERGEN,1860,HACKENSACK CITY,Admins,63.6,36.4,51.5,27.3,21.2,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,1860,HACKENSACK CITY,Teachers,71.7,28.3,64.0,21.0,12.1,2.6,0.0,0.2,0.0,2017-18
03,BERGEN,2050,HARRINGTON PARK BORO,Admins,25.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,2050,HARRINGTON PARK BORO,Teachers,86.8,13.2,90.6,1.9,0.0,5.7,0.0,0.0,1.9,2017-18
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,Admins,30.0,70.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,Teachers,78.2,21.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,2090,HAWORTH BORO,Admins,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,2090,HAWORTH BORO,Teachers,88.1,11.9,92.9,4.8,0.0,0.0,0.0,2.4,0.0,2017-18
03,BERGEN,2180,HILLSDALE BORO,Admins,37.5,62.5,87.5,12.5,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,2180,HILLSDALE BORO,Teachers,89.1,10.9,93.3,5.0,0.0,1.7,0.0,0.0,0.0,2017-18
03,BERGEN,2200,HO HO KUS BORO,Admins,80.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,2200,HO HO KUS BORO,Teachers,89.8,10.2,95.9,2.0,0.0,2.0,0.0,0.0,0.0,2017-18
03,BERGEN,2620,LEONIA BORO,Admins,52.9,47.1,76.5,17.6,0.0,5.9,0.0,0.0,0.0,2017-18
03,BERGEN,2620,LEONIA BORO,Teachers,77.1,22.9,79.4,7.4,0.6,12.0,0.0,0.0,0.6,2017-18
03,BERGEN,2710,LITTLE FERRY BORO,Admins,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,2710,LITTLE FERRY BORO,Teachers,92.3,7.7,89.7,6.4,1.3,2.6,0.0,0.0,0.0,2017-18
03,BERGEN,2740,LODI BOROUGH,Admins,46.2,53.8,96.2,0.0,0.0,3.8,0.0,0.0,0.0,2017-18
03,BERGEN,2740,LODI BOROUGH,Teachers,82.8,17.2,95.7,3.0,0.4,0.9,0.0,0.0,0.0,2017-18
03,BERGEN,2860,LYNDHURST TWP,Admins,54.5,45.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,2860,LYNDHURST TWP,Teachers,74.6,25.4,98.0,1.5,0.5,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,2900,MAHWAH TWP,Admins,58.3,41.7,87.5,4.2,4.2,0.0,0.0,0.0,4.2,2017-18
03,BERGEN,2900,MAHWAH TWP,Teachers,76.1,23.9,93.8,3.6,1.1,0.4,0.0,0.4,0.7,2017-18
03,BERGEN,3060,MAYWOOD BORO,Admins,20.0,80.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3060,MAYWOOD BORO,Teachers,85.7,14.3,93.5,5.2,0.0,1.3,0.0,0.0,0.0,2017-18
03,BERGEN,3170,MIDLAND PARK BORO,Admins,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3170,MIDLAND PARK BORO,Teachers,79.4,20.6,96.3,2.8,0.0,0.9,0.0,0.0,0.0,2017-18
03,BERGEN,3330,MONTVALE BORO,Admins,37.5,62.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3330,MONTVALE BORO,Teachers,86.5,13.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3350,MOONACHIE BORO,Admins,33.3,66.7,66.7,0.0,33.3,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3350,MOONACHIE BORO,Teachers,78.6,21.4,96.4,3.6,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3550,NEW MILFORD BORO,Admins,42.9,57.1,92.9,7.1,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3550,NEW MILFORD BORO,Teachers,77.4,22.6,93.3,3.7,0.6,2.4,0.0,0.0,0.0,2017-18
03,BERGEN,3600,NORTH ARLINGTON BORO,Admins,66.7,33.3,80.0,13.3,6.7,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3600,NORTH ARLINGTON BORO,Teachers,77.4,22.6,92.5,5.3,0.0,2.3,0.0,0.0,0.0,2017-18
03,BERGEN,3700,NORTHERN HIGHLANDS REG,Admins,26.7,73.3,93.3,6.7,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3700,NORTHERN HIGHLANDS REG,Teachers,60.0,40.0,93.9,4.3,0.0,1.7,0.0,0.0,0.0,2017-18
03,BERGEN,3710,NORTHERN VALLEY REGIONAL,Admins,53.8,46.2,96.2,0.0,3.8,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3710,NORTHERN VALLEY REGIONAL,Teachers,67.1,32.9,91.5,4.9,0.4,3.3,0.0,0.0,0.0,2017-18
03,BERGEN,3730,NORTHVALE BORO,Admins,75.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3730,NORTHVALE BORO,Teachers,89.6,10.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3740,NORWOOD BORO,Admins,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3740,NORWOOD BORO,Teachers,88.0,12.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3760,OAKLAND BORO,Admins,72.7,27.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3760,OAKLAND BORO,Teachers,85.1,14.9,95.5,3.0,0.0,0.7,0.7,0.0,0.0,2017-18
03,BERGEN,3850,OLD TAPPAN BORO,Admins,71.4,28.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3850,OLD TAPPAN BORO,Teachers,78.1,21.9,92.2,1.6,0.0,6.3,0.0,0.0,0.0,2017-18
03,BERGEN,3870,ORADELL BORO,Admins,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3870,ORADELL BORO,Teachers,90.6,9.4,96.9,1.6,0.0,0.0,0.0,0.0,1.6,2017-18
